technique,CCTV,LiDAR,Robot,VR
EdgeWiseCR_edgewise,33.33333333333333,8.333333333333332,29.166666666666668,33.33333333333333
EdgeWiseCR_edgewise_cr,33.33333333333333,8.333333333333332,29.166666666666668,33.33333333333333
EdgeWiseCR_edgewise_num,33.33333333333333,29.166666666666668,66.66666666666666,33.33333333333333
EdgeWiseCR_prolog,100.0,100.0,100.0,100.0
EdgeWiseCR_prolog_cr,100.0,100.0,100.0,100.0
EdgeWiseCR_prolog_num,100.0,100.0,100.0,100.0
PRIME,100.0,100.0,100.0,100.0
RAOM4CC_best_fit,100.0,100.0,100.0,100.0
RAOM4CC_best_fit_delay,100.0,100.0,100.0,100.0
RAOM4CC_best_fit_delay_energy,100.0,100.0,100.0,100.0
RAOM4CC_delay_energy_heuristics,100.0,100.0,100.0,100.0
RAOM4CC_delay_heuristics,100.0,100.0,100.0,100.0
RAOM4CC_one_layer_cloud,100.0,91.66666666666666,0.0,100.0
RAOM4CC_one_layer_edge,100.0,87.5,100.0,100.0
RAOM4CC_one_layer_mist,0.0,0.0,83.33333333333334,0.0
RAOM4CC_round_robin,100.0,91.66666666666666,100.0,100.0
