scenario_id,job_id,status,submitted_at,started_at,completed_at,time_seconds,cost,add_ons,features,available_storage_gb,distance,available_gpu_units,available_tpu_units,available_cpu_cores,available_ram_gb,filter_maxPrice,filter_maxSubscriptionSize,filter_features,filter_usageLimits_available_ram_gb,filter_usageLimits_available_storage_gb,filter_usageLimits_available_cpu_cores,filter_usageLimits_available_gpu_units,filter_usageLimits_available_tpu_units,filter_usageLimits_distance
small_devices_vr_5_0,job-c829e2e0-016f-415e-b23a-672ec534cad6,COMPLETED,2026-03-10T08:40:46.154Z,2026-03-10T08:40:46.155Z,2026-03-10T08:40:47.842Z,1.722829818725586,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_1,job-e886c786-e839-4cd1-91e3-6564b9f6d279,COMPLETED,2026-03-10T08:40:47.865Z,2026-03-10T08:40:47.865Z,2026-03-10T08:40:47.956Z,0.11391615867614746,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_2,job-8f1b553c-d8d9-4249-8d01-cd5f4a893048,COMPLETED,2026-03-10T08:40:47.979Z,2026-03-10T08:40:47.979Z,2026-03-10T08:40:48.066Z,0.11081910133361816,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_3,job-f8a8b8ee-1581-4942-9854-64ca61c5561d,COMPLETED,2026-03-10T08:40:48.091Z,2026-03-10T08:40:48.091Z,2026-03-10T08:40:48.170Z,0.10764694213867188,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_4,job-41f609ec-5367-4b62-932b-0a7d83d0c055,COMPLETED,2026-03-10T08:40:48.198Z,2026-03-10T08:40:48.198Z,2026-03-10T08:40:48.280Z,0.11217617988586426,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_5,job-1a61222a-3687-4857-99b0-ffb6ba039fd9,COMPLETED,2026-03-10T08:40:48.311Z,2026-03-10T08:40:48.311Z,2026-03-10T08:40:48.398Z,0.11214327812194824,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_6,job-f6688ef2-00c1-4adf-aa71-561415131eb5,COMPLETED,2026-03-10T08:40:48.423Z,2026-03-10T08:40:48.423Z,2026-03-10T08:40:48.509Z,0.11125898361206055,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_7,job-188986d4-e9b5-456c-a79d-772b458e754b,COMPLETED,2026-03-10T08:40:48.535Z,2026-03-10T08:40:48.535Z,2026-03-10T08:40:48.616Z,0.11123013496398926,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_8,job-bad8490d-f5e3-48d3-9407-d98a31e1cc69,COMPLETED,2026-03-10T08:40:48.648Z,2026-03-10T08:40:48.648Z,2026-03-10T08:40:48.734Z,0.10996007919311523,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_9,job-0fcfd8c7-fd6a-47a7-8095-14f493b55bf6,COMPLETED,2026-03-10T08:40:48.758Z,2026-03-10T08:40:48.758Z,2026-03-10T08:40:48.837Z,0.11126017570495605,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_10,job-b7a73916-a2e7-4c90-8c9b-c5c240527893,COMPLETED,2026-03-10T08:40:48.870Z,2026-03-10T08:40:48.870Z,2026-03-10T08:40:48.949Z,0.10755777359008789,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_11,job-e27302ef-76be-4fb4-ad63-fb444235c2a7,COMPLETED,2026-03-10T08:40:48.978Z,2026-03-10T08:40:48.978Z,2026-03-10T08:40:49.059Z,0.1094968318939209,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_12,job-15167456-a565-4110-a682-7bd61fe2d31d,COMPLETED,2026-03-10T08:40:49.088Z,2026-03-10T08:40:49.088Z,2026-03-10T08:40:49.165Z,0.1091909408569336,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_13,job-2f8f5835-3665-47a6-a9a5-50dc57c958f7,COMPLETED,2026-03-10T08:40:49.198Z,2026-03-10T08:40:49.198Z,2026-03-10T08:40:49.274Z,0.10949110984802246,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
small_devices_vr_5_14,job-cea6f748-8f13-43b2-8c33-6c7c595e0519,COMPLETED,2026-03-10T08:40:49.308Z,2026-03-10T08:40:49.308Z,2026-03-10T08:40:49.393Z,0.11130714416503906,344.099 $,"['VODAFONE_303713', 'TELSTRA_9012342', 'TELSTRA_50617', 'TELSTRA_50676']","['NETWORK_NODE', 'SENSOR', 'CAMERA', 'DATA_CENTER']",2349,399980244,8,3,63,120,1000,4,"['CAMERA', 'SENSOR', 'NETWORK_NODE', 'DATA_CENTER']",3,3,1,1,0,99996250
