,latitude,longitude
0,-30.5083,151.6712
1,-37.8833,145.3333
2,-32.243,148.6048
3,-37.8141,144.963
4,-27.4891,153.0188
5,-27.4482,153.0134
6,-27.4935,153.0763
7,-27.5975,152.7475
8,-27.5202,153.0278
9,-26.8067,152.961
10,-27.5976,153.077
11,-27.8833,153.3
12,-27.6498,153.1775
13,-26.5283,153.0881
14,-27.4732,153.0215
15,-27.1088,152.9491
16,-27.4932,153.0583
17,-27.5575,153.2648
18,-31.0905,150.929
19,-32.892,151.7053
20,-32.907,151.6053
21,-27.4104,153.0111
22,-27.4155,152.9766
23,-27.7,153.2
24,-27.8833,153.1333
25,-27.4432,153.0302
26,-27.6833,153.25
27,-28.0833,153.3667
28,-27.4704,153.0031
29,-26.731,152.9977
30,-27.5123,153.0325
31,-27.5833,153.3117
32,-28.1545,153.3092
33,-27.5,152.9
34,-28.0215,153.3664
35,-27.4189,153.0582
36,-19.3366,146.7836
37,-27.6081,151.7545
38,-27.3981,152.958
39,-27.5026,152.9501
40,-27.7,153.15
41,-27.5133,152.9752
42,-21.0405,149.1849
43,-27.9553,153.3991
44,-24.0855,151.6282
45,-26.7179,153.0547
46,-27.4833,153.0
47,-16.923,145.7663
48,-21.1667,149.1
49,-26.6535,153.1012
50,-27.5006,153.035
51,-26.656,153.092
52,-27.5649,153.0665
53,-26.5333,152.95
54,-26.7007,152.9935
55,-27.1611,152.9594
56,-27.2435,153.0238
57,-27.481,153.04399999999998
58,-27.5167,153.25
59,-26.8588,152.9614
60,-26.7817,153.1165
61,-27.4616,153.0751
62,-27.5,153.1167
63,-27.5662,152.7784
64,-27.6233,153.0479
65,-27.6208,153.0058
66,-27.3456,152.8718
67,-27.9788,153.4266
68,-27.4833,153.2167
69,-27.6605,152.879
70,-27.4478,153.1317
71,-27.5167,153.1833
72,-27.5344,153.0246
73,-27.5262,153.0605
74,-26.3989,152.8756
75,-27.4724,153.0947
76,-26.5845,153.0947
77,-27.8667,152.9833
78,-26.7844,153.0922
79,-27.4765,152.9966
80,-28.1407,153.45
81,-24.8542,152.2352
82,-28.1124,153.3964
83,-25.3,152.8333
84,-27.6633,153.0038
85,-27.7833,153.2667
86,-27.3397,153.0292
87,-27.4455,152.99200000000002
88,-27.5393,153.099
89,-42.9833,147.1
90,-27.9833,153.1667
91,-38.1462,145.9406
92,-37.7333,144.8
93,-34.9286,138.6
94,-31.953000000000003,115.857
95,-33.8675,151.207
96,-31.9344,115.8716
97,-32.05,115.7667
98,-31.9674,115.8621
99,-31.9344,115.7617
100,-31.7813,115.9896
101,-31.8276,115.865
102,-31.9386,115.7921
103,-31.8406,115.8955
104,-31.8882,115.8719
105,-31.9035,115.909
106,-32.1066,115.959
107,-32.05,115.9833
108,-32.0332,115.8126
109,-31.875,115.8284
110,-31.8733,115.899
111,-32.058,115.9181
112,-32.3289,115.8305
113,-31.7325,115.7977
114,-31.931,115.8949
115,-31.6304,115.6864
116,-31.9587,115.8711
117,-31.9397,115.8701
118,-32.06,115.955
119,-31.902,115.8455
120,-31.855,115.8399
121,-32.081,116.0054
122,-32.0525,115.8878
123,-32.221,116.009
124,-31.8273,115.9742
125,-31.8958,115.7643
126,-31.9172,115.938
127,-31.6962,115.805
128,-31.8694,115.7571
129,-31.9587,115.904
130,-31.9483,115.819
131,-32.0249,115.802
132,-31.9113,115.8892
133,-31.9147,115.8489
134,-31.807,115.7404
135,-31.9628,115.9443
136,-32.0397,115.8678
137,-32.0976,115.8192
138,-31.8523,115.7826
139,-32.0278,115.7833
140,-31.9796,115.7823
141,-31.9485,115.8268
142,-31.981,115.8696
143,-34.8833,138.55
144,-34.9117,138.6198
145,-34.9287,138.5986
146,-34.8793,138.6356
