device_id,latitude,longitude,elevation,provider,global_group,device_type,available_ram_gb,unit_price_available_ram_gb,available_storage_gb,unit_price_available_storage_gb,available_cpu_cores,unit_price_available_cpu_cores,available_gpu_units,unit_price_available_gpu_units,available_tpu_units,unit_price_available_tpu_units,available_network_in_mbps,unit_price_available_network_in_mbps,available_network_out_mbps,unit_price_available_network_out_mbps
10006108,-37.68128,144.66825,,TELSTRA,3,DATA_CENTER,99,0.003,1564,0.1,48,15.0,4,150.0,3,240.0,9987,0.01,9634,0.01
10008699,-37.695055,144.851601,,OPTUS,2,COMPUTER,46,0.15,344,0.25,30,15.0,3,120.0,1,210.0,4298,0.01,2488,0.01
10009096,-37.74986,144.71456,,TELSTRA,3,DATA_CENTER,88,0.003,1070,0.1,32,15.0,7,150.0,3,240.0,9152,0.01,9675,0.01
101825,-37.789816,144.816974,,TELSTRA,1,SENSOR,4,1.3,5,1.1,8,15.0,0,120.0,0,200.0,713,0.01,137,0.01
102034,-37.717535,144.922198,,TELSTRA,1,CAMERA,2,1.3,3,1.1,1,15.0,0,120.0,0,200.0,231,0.01,212,0.01
102060,-37.703326,144.960025,,TELSTRA,1,NETWORK_NODE,1,1.3,4,1.1,8,15.0,0,120.0,0,200.0,73,0.01,244,0.01
130032,-37.683231,144.914822,,VODAFONE,2,COMPUTER,62,0.18,790,0.35,11,15.0,2,120.0,0,200.0,2271,0.01,3325,0.01
130382,-37.744201,144.695936,100.0,VODAFONE,2,NETWORK_NODE,21,0.18,990,0.35,29,15.0,1,120.0,0,200.0,4717,0.01,2362,0.01
131673,-37.592212,144.887545,,TELSTRA,1,SENSOR,15,1.3,5,1.1,4,15.0,0,120.0,0,200.0,29,0.01,185,0.01
131889,-37.675553,144.853583,,TELSTRA,3,DATA_CENTER,92,0.003,1579,0.1,33,15.0,6,150.0,2,240.0,9073,0.01,9407,0.01
