device_id,latitude,longitude,elevation,provider,global_group,device_type,available_ram_gb,unit_price_available_ram_gb,available_storage_gb,unit_price_available_storage_gb,available_cpu_cores,unit_price_available_cpu_cores,available_gpu_units,unit_price_available_gpu_units,available_tpu_units,unit_price_available_tpu_units,available_network_in_mbps,unit_price_available_network_in_mbps,available_network_out_mbps,unit_price_available_network_out_mbps
301877,-37.775802,144.850687,,TELSTRA,1,CAMERA,5,1.3,42,1.1,8,15.0,0,120.0,0,200.0,1233,0.01,1093,0.01
9007573,-37.720337,144.9408,,TELSTRA,2,COMPUTER,44,0.12,618,0.3,28,15.0,1,130.0,0,200.0,3316,0.01,2596,0.01
102034,-37.717535,144.922198,,TELSTRA,1,CAMERA,2,1.3,3,1.1,1,15.0,0,120.0,0,200.0,231,0.01,212,0.01
9011995,-37.801085,144.754884,41.0,OPTUS,1,NETWORK_NODE,2,1.0,23,0.9,4,15.0,0,120.0,0,200.0,140,0.01,219,0.01
9001989,-37.641706,144.911,,TELSTRA,2,NETWORK_NODE,19,0.12,431,0.3,18,15.0,1,130.0,1,200.0,3288,0.01,4321,0.01
133210,-37.666538,144.955166,,TELSTRA,2,NETWORK_NODE,34,0.12,524,0.3,31,15.0,1,130.0,0,200.0,2516,0.01,4370,0.01
36272,-37.652843,144.874254,198.0,TELSTRA,1,SENSOR,4,1.3,19,1.1,8,15.0,0,120.0,0,200.0,11,0.01,228,0.01
135026,-37.57297,144.948246,230.0,OPTUS,1,SENSOR,15,1.0,3,0.9,6,15.0,0,120.0,0,200.0,84,0.01,237,0.01
502093,-37.769506,144.779009,,TELSTRA,1,SENSOR,4,1.3,3,1.1,6,15.0,0,120.0,0,200.0,35,0.01,204,0.01
134302,-37.678516,144.664353,,OPTUS,2,COMPUTER,50,0.15,781,0.25,29,15.0,2,120.0,1,210.0,2629,0.01,4915,0.01
9026099,-37.705706,144.751418,,VODAFONE,1,NETWORK_NODE,4,1.5,1,1.25,2,15.0,0,120.0,0,200.0,86,0.01,253,0.01
570399,-37.727456,144.786563,83.0,OPTUS,1,CAMERA,3,1.0,26,0.9,6,15.0,0,120.0,0,200.0,57,0.01,228,0.01
50897,-37.734058,144.906679,,OPTUS,2,NETWORK_NODE,37,0.15,448,0.25,27,15.0,2,120.0,1,210.0,4476,0.01,4731,0.01
9002508,-37.583865,144.693281,,TELSTRA,3,DATA_CENTER,108,0.003,1214,0.1,39,15.0,4,150.0,2,240.0,8921,0.01,9187,0.01
301321,-37.67966,144.503904,152.0,TELSTRA,3,DATA_CENTER,85,0.003,1119,0.1,58,15.0,7,150.0,3,240.0,8246,0.01,9387,0.01
9022364,-37.686608,144.536396,,OPTUS,1,SENSOR,3,1.0,4,0.9,5,15.0,0,120.0,0,200.0,89,0.01,141,0.01
50593,-37.750265,144.834175,,TELSTRA,1,CAMERA,2,1.3,5,1.1,2,15.0,0,120.0,0,200.0,116,0.01,1005,0.01
9020392,-37.584655,144.941411,,TELSTRA,1,CAMERA,3,1.3,2,1.1,1,15.0,0,120.0,0,200.0,242,0.01,99,0.01
570473,-37.773205,144.80762,,TELSTRA,3,DATA_CENTER,114,0.003,1727,0.1,41,15.0,6,150.0,3,240.0,9879,0.01,9700,0.01
9007938,-37.766686,144.751479,,TELSTRA,3,DATA_CENTER,74,0.003,1741,0.1,54,15.0,6,150.0,2,240.0,9932,0.01,9827,0.01
